date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-08-25,short,80.49986599716726,win,sl,5,1,2020,2020-08,1935.0185,2.633612887233107
2020-08-31,long,-100.00000000000135,loss,sl,11,0,2020,2020-08,1965.8464999999999,3.976878990181777
2020-08-31,long,250.0,win,tp,19,0,2020,2020-08,1965.8464999999999,3.5861652872996705
2020-09-01,long,-100.00000000000058,loss,sl,9,1,2020,2020-09,1986.2214999999999,3.5291219939651706
2020-09-02,long,-99.999999999998,loss,sl,11,2,2020,2020-09,1962.3954999999999,3.634483589279016
2020-09-07,short,-99.99999999999903,loss,sl,9,0,2020,2020-09,1931.3714999999997,2.808968630977715
2020-09-07,short,130.75289611954022,win,sl,13,0,2020,2020-09,1931.3714999999997,2.68985188794948
2020-09-10,long,124.54329817075862,win,sl,3,3,2020,2020-09,1945.5865,2.60843197365949
2020-09-10,long,125.71773224059058,win,sl,3,3,2020,2020-09,1945.5865,2.504258261255231
2020-09-14,long,-99.9999999999979,loss,sl,5,0,2020,2020-09,1944.21,2.6198729421128615
2020-09-15,long,250.0,win,tp,23,1,2020,2020-09,1953.1915000000001,2.387095229438781
2020-09-16,long,-99.99999999999967,loss,sl,22,2,2020,2020-09,1959.3765,4.180416561282313
2020-09-17,short,132.0704932849099,win,sl,7,3,2020,2020-09,1946.9435,3.735968833050019
2020-09-17,short,-99.99999999999974,loss,sl,16,3,2020,2020-09,1946.9435,4.559313275041416
2020-09-17,long,250.0,win,tp,18,3,2020,2020-09,1942.22,3.0181824393807593
2020-09-22,short,85.27916126282548,win,sl,9,1,2020,2020-09,1906.765,4.713473446402985
2020-09-22,short,105.26487708755188,win,sl,18,1,2020,2020-09,1905.535,4.27598200235021
2020-09-24,short,92.10212754382144,win,sl,12,3,2020,2020-09,1861.0499999999997,3.8265848506665323
2020-09-24,short,81.60565544488887,win,sl,23,3,2020,2020-09,1868.6499999999999,4.411801392272909
2020-09-28,short,-99.99999999999915,loss,sl,12,0,2020,2020-09,1873.875,4.1643825460287545
2020-09-28,short,-99.99999999999942,loss,sl,16,0,2020,2020-09,1873.875,4.5690315104978065
2020-09-29,short,178.4061204310607,win,sl,3,1,2020,2020-09,1883.876,2.617371705846613
