date,direction,session,pnl,outcome,reason,hour,dow,atr,level,strategy
2021-04-19,long,sr_bounce,96.87079091058585,win,sl,1,0,2.332857126606267,1773.2150000000001,S3_SR_Bounce
2021-04-20,long,sr_bounce,-99.99999999999993,loss,sl,3,1,2.1286806133236964,1773.2150000000001,S3_SR_Bounce
2021-04-26,long,sr_bounce,115.62297627599017,win,sl,12,0,2.4103124678373495,1768.8095,S3_SR_Bounce
2021-04-28,long,sr_bounce,-100.00000000000846,loss,sl,5,2,1.3273603418471125,1768.8095,S3_SR_Bounce
2021-04-29,long,sr_bounce,-99.99999999999638,loss,sl,10,3,1.8644081277291882,1773.7785,S3_SR_Bounce
2021-05-05,short,sr_bounce,-100.00000000000229,loss,sl,13,2,2.7911520448050666,1783.4164999999998,S3_SR_Bounce
2021-05-11,long,sr_bounce,83.10688465422092,win,sl,1,1,1.8224001088983617,1831.41,S3_SR_Bounce
2021-05-12,long,sr_bounce,-100.00000000000264,loss,sl,13,2,3.778487372157443,1831.41,S3_SR_Bounce
2021-05-13,long,sr_bounce,-99.99999999999997,loss,sl,2,3,2.3412857321438887,1818.0385,S3_SR_Bounce
2021-05-18,long,sr_bounce,100.07696181644015,win,sl,14,1,2.9305318638902578,1863.3015,S3_SR_Bounce
2021-05-20,long,sr_bounce,82.15871328861311,win,sl,0,3,2.6449198039326647,1863.3015,S3_SR_Bounce
2021-05-25,long,sr_bounce,250.0,win,tp,1,1,1.7902879046702684,1872.7645,S3_SR_Bounce
2021-05-26,long,sr_bounce,105.05747279484498,win,sl,17,2,3.0243185100877987,1890.7565000000002,S3_SR_Bounce
2021-05-27,long,sr_bounce,-100.00000000000003,loss,sl,13,3,3.2840610575319706,1890.7565000000002,S3_SR_Bounce
2021-06-01,long,sr_bounce,92.3896283064732,win,sl,14,1,3.6320821060609996,1892.4534999999998,S3_SR_Bounce
2021-06-03,long,sr_bounce,-100.00000000000118,loss,sl,8,3,1.9995420008824334,1892.4534999999998,S3_SR_Bounce
2021-06-07,long,sr_bounce,82.77272811320094,win,sl,7,0,1.7674935088181303,1881.575,S3_SR_Bounce
2021-06-09,long,sr_bounce,-100.00000000000004,loss,sl,14,2,2.87906394108404,1887.405,S3_SR_Bounce
2021-06-10,long,sr_bounce,-100.00000000000779,loss,sl,1,3,1.3662933750102937,1887.405,S3_SR_Bounce
2021-06-14,short,sr_bounce,88.63502073937876,win,sl,14,0,4.104636489854199,1869.9,S3_SR_Bounce
2021-06-15,short,sr_bounce,-99.99999999999427,loss,sl,6,1,1.9478423786157444,1869.2150000000001,S3_SR_Bounce
2021-06-22,short,sr_bounce,250.0,win,tp,3,1,1.7416455600782714,1790.2035,S3_SR_Bounce
2021-06-23,short,sr_bounce,156.04482785448715,win,sl,14,2,3.0732766918350367,1794.98,S3_SR_Bounce
2021-07-01,long,sr_bounce,88.9670015188263,win,sl,9,3,1.7989097774451808,1773.4685,S3_SR_Bounce
2021-07-01,short,sr_bounce,-99.9999999999987,loss,sl,13,3,2.4584927836033645,1782.865,S3_SR_Bounce
2021-07-05,long,sr_bounce,250.0,win,tp,0,0,1.5537603859126925,1784.545,S3_SR_Bounce
2021-07-05,short,sr_bounce,107.51502349714896,win,sl,8,0,1.927600275950692,1795.0949999999998,S3_SR_Bounce
2021-07-06,long,sr_bounce,84.85175281144825,win,sl,16,1,3.556217594081647,1790.145,S3_SR_Bounce
2021-07-07,short,sr_bounce,198.5344021000023,win,sl,12,2,2.0080960892138737,1809.8455000000001,S3_SR_Bounce
2021-07-08,long,sr_bounce,-99.99999999999919,loss,sl,6,3,1.6704670808201307,1797.0500000000002,S3_SR_Bounce
2021-07-15,long,sr_bounce,124.53008947114645,win,sl,14,3,2.640854334891701,1820.345,S3_SR_Bounce
2021-07-19,long,sr_bounce,104.72680108590824,win,sl,13,0,3.434056417131699,1809.0565000000001,S3_SR_Bounce
2021-07-19,short,sr_bounce,250.0,win,tp,14,0,3.436235171014652,1815.63,S3_SR_Bounce
2021-07-20,short,sr_bounce,90.6729270517514,win,sl,2,1,1.4322017897852046,1819.2450000000001,S3_SR_Bounce
2021-07-20,long,sr_bounce,87.46857942017702,win,sl,13,1,2.4751197623378953,1820.345,S3_SR_Bounce
2021-07-21,long,sr_bounce,-100.00000000000438,loss,sl,1,2,1.351934785243825,1805.17,S3_SR_Bounce
2021-07-21,short,sr_bounce,114.76934676654258,win,sl,6,2,1.655366552567145,1813.8349999999998,S3_SR_Bounce
2021-07-27,short,sr_bounce,83.72750182890847,win,sl,12,1,1.891252927126614,1805.2749999999999,S3_SR_Bounce
2021-07-28,short,sr_bounce,-100.00000000000087,loss,sl,18,2,2.943750466281901,1805.2749999999999,S3_SR_Bounce
2021-08-02,long,sr_bounce,-99.99999999999729,loss,sl,3,0,1.7418718115575775,1810.315,S3_SR_Bounce
2021-08-02,short,sr_bounce,-99.99999999999804,loss,sl,14,0,2.5037244195610167,1816.9715,S3_SR_Bounce
2021-08-03,long,sr_bounce,-100.00000000000699,loss,sl,2,1,1.2924014707636167,1810.315,S3_SR_Bounce
2021-08-04,long,sr_bounce,250.0,win,tp,1,2,0.8588591753801271,1810.315,S3_SR_Bounce
2021-08-05,long,sr_bounce,-100.00000000000388,loss,sl,16,3,2.46744981823203,1805.84,S3_SR_Bounce
2021-08-10,short,sr_bounce,81.51835877026267,win,sl,6,1,1.7569361712958107,1738.335,S3_SR_Bounce
2021-08-11,short,sr_bounce,-99.99999999999841,loss,sl,11,2,1.6152037667905264,1738.335,S3_SR_Bounce
2021-08-12,short,sr_bounce,108.36620454376174,win,sl,7,3,1.7689338404730046,1758.1915,S3_SR_Bounce
2021-08-12,long,sr_bounce,82.56061807707022,win,sl,13,3,2.7047840097506586,1741.6699999999998,S3_SR_Bounce
2021-08-16,long,sr_bounce,-99.99999999999658,loss,sl,11,0,1.7214623657997117,1770.9054999999998,S3_SR_Bounce
2021-08-17,long,sr_bounce,108.59049834050083,win,sl,1,1,1.260847780257833,1784.4665,S3_SR_Bounce
2021-08-18,long,sr_bounce,134.6708697533903,win,sl,15,2,2.5218858795511734,1777.385,S3_SR_Bounce
2021-08-19,long,sr_bounce,-100.00000000000237,loss,sl,2,3,1.5427551997952011,1780.64,S3_SR_Bounce
2021-08-22,long,sr_bounce,81.36426161818959,win,sl,23,6,1.413101334061098,1777.385,S3_SR_Bounce
2021-08-23,short,sr_bounce,91.65643792755898,win,sl,3,0,1.9102749850969605,1788.4679999999998,S3_SR_Bounce
2021-08-24,long,sr_bounce,101.2898091687843,win,sl,8,1,1.3896968306148187,1800.81,S3_SR_Bounce
2021-08-25,short,sr_bounce,250.0,win,tp,13,2,2.313184239251323,1797.8069999999998,S3_SR_Bounce
2021-08-25,long,sr_bounce,96.56579044088552,win,sl,14,2,3.47451582470367,1782.6250000000002,S3_SR_Bounce
2021-08-26,long,sr_bounce,-99.99999999999655,loss,sl,13,3,2.5701665904544804,1780.1165,S3_SR_Bounce
2021-08-30,long,sr_bounce,147.374794609511,win,sl,18,0,1.3609087632699997,1807.8,S3_SR_Bounce
2021-08-31,long,sr_bounce,-100.00000000000091,loss,sl,14,1,3.283937942171148,1807.8,S3_SR_Bounce
2021-09-02,long,sr_bounce,120.69089109305362,win,sl,16,3,2.4640475717489516,1807.8,S3_SR_Bounce
2021-09-07,long,sr_bounce,-99.99999999999908,loss,sl,4,1,1.0638131430678284,1821.469,S3_SR_Bounce
2021-09-13,short,sr_bounce,92.18025274117943,win,sl,14,0,2.4648159860757612,1798.373,S3_SR_Bounce
2021-09-14,short,sr_bounce,102.19489238624328,win,sl,17,1,2.9090355712384848,1803.942,S3_SR_Bounce
2021-09-19,short,sr_bounce,126.62560516050195,win,sl,22,6,1.8592580636186098,1755.292,S3_SR_Bounce
2021-09-20,short,sr_bounce,95.73241555940503,win,sl,14,0,3.1175309026663154,1767.5615,S3_SR_Bounce
2021-09-21,short,sr_bounce,-100.00000000000118,loss,sl,10,1,1.6273792258980202,1767.5615,S3_SR_Bounce
2021-09-22,short,sr_bounce,118.56256687696276,win,sl,6,2,1.4032315721318147,1780.3719999999998,S3_SR_Bounce
2021-09-23,short,sr_bounce,198.83674025887305,win,sl,0,3,2.4347175370495355,1767.2450000000001,S3_SR_Bounce
2021-09-27,short,sr_bounce,250.0,win,tp,2,0,1.584514717937299,1760.9155,S3_SR_Bounce
